name;categories;lat;lng;subcity;Unnamed: 0;City
Zehlendorfer Grill;Doner Restaurant;52.430659187300364;13.258585312663849;Zehlendorf, Berlin;;Berlin
TK Maxx;Big Box Store;52.437802304591806;13.262201759245727;Zehlendorf, Berlin;;Berlin
Gasthaus Kronprinz;German Restaurant;52.4381692144769;13.262149305623232;Zehlendorf, Berlin;;Berlin
Zehlendorfer Eiche;Tree;52.43507919371429;13.260008698286462;Zehlendorf, Berlin;;Berlin
REWE;Supermarket;52.43708953743386;13.262295330759;Zehlendorf, Berlin;;Berlin
Subway;Sandwich Place;52.42994122046256;13.259903320420447;Zehlendorf, Berlin;;Berlin
Mittelhof;Café;52.43394668206985;13.254495858633607;Zehlendorf, Berlin;;Berlin
Best Western loftstyle Hotel Stuttgart-Zuffenhausen;Hotel;48.8383047;9.1887208;Zazenhausen, Stuttgart;;Stuttgart
TV Zazenhausen;Soccer Field;48.84196859526568;9.191582498515904;Zazenhausen, Stuttgart;;Stuttgart
Hahn Im Korb;Food Truck;48.838173511122676;9.196352384822744;Zazenhausen, Stuttgart;;Stuttgart
Hotel Krone;Hotel;51.06534194946289;6.866322994232178;Worringen, Köln;;Köln
Hotel Matheisen;Hotel;51.064535082905;6.866395099445268;Worringen, Köln;;Köln
Worringer Grill;Burger Joint;51.06346950259129;6.862759206289749;Worringen, Köln;;Köln
EDEKA Stahl;Supermarket;51.06366677;6.86100064;Worringen, Köln;;Köln
Wolfbusch Ei;Arts & Entertainment;48.80439157437286;9.104931765263178;Wolfbusch, Stuttgart;;Stuttgart
U Wolfbusch;Metro Station;48.80714610045553;9.105091094970703;Wolfbusch, Stuttgart;;Stuttgart
SG Weilimdorf;Soccer Field;48.80633711775196;9.103199382041758;Wolfbusch, Stuttgart;;Stuttgart
Eiskeller;Memorial Site;53.70308350998789;10.130038261413574;Wohldorf-Ohlstedt, Hamburg;;Hamburg
Gasthaus Peters;German Restaurant;51.32121587633175;6.739247618249417;Wittlaer, Düsseldorf;;Düsseldorf
Bäcker Wolff;Bakery;51.32063483772364;6.744787693136258;Wittlaer, Düsseldorf;;Düsseldorf
Im Jäger;German Restaurant;51.3206255631161;6.744812365801572;Wittlaer, Düsseldorf;;Düsseldorf
U Wittlaer;Metro Station;51.318344369609434;6.745336876952622;Wittlaer, Düsseldorf;;Düsseldorf
Dorfaue;Eastern European Restaurant;52.592863396794606;13.322791497248039;Wittenau, Berlin;;Berlin
Ratskeller Reinickendorf;German Restaurant;52.590035502722436;13.324924180792415;Wittenau, Berlin;;Berlin
Schupke;Restaurant;52.59132780259446;13.326414268563877;Wittenau, Berlin;;Berlin
Ernst-Reuter-Saal;Concert Hall;52.58868129405055;13.324727901775008;Wittenau, Berlin;;Berlin
Carpaccio;Italian Restaurant;52.59295604028826;13.323801429784705;Wittenau, Berlin;;Berlin
Triftpark;Park;52.58945797903778;13.318926234786902;Wittenau, Berlin;;Berlin
Revierpark Wischlingen;Park;51.521080948564816;7.403411865234375;Wischlingen, Dortmund;;Dortmund
Tree2Tree;Rock Climbing Spot;51.520132289304975;7.4015552090441075;Wischlingen, Dortmund;;Dortmund
Perfect Style;Salon / Barbershop;51.52675999999999;7.401100000000043;Wischlingen, Dortmund;;Dortmund
Arena Dortmund;Gym;51.52678;7.402209999999968;Wischlingen, Dortmund;;Dortmund
